"Город","Название города","Страна","Регион","Справка","Спорный"
"Аксай","Аксай","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Аксай_(Ростовская_область)",
"Актау (Темиртау)","Актау","Казахстан",,"https://ru.wikipedia.org/wiki/Актау_(Темиртау)",
"Актобе","Актобе","Казахстан",,"https://ru.wikipedia.org/wiki/Актобе",
"Алаверди","Алаверди","Армения",,"https://ru.wikipedia.org/wiki/Алаверди",
"Алагир","Алагир","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Алагир",
"Алапаевск","Алапаевск","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Алапаевск",
"Алатырь","Алатырь","Россия","Чувашия","https://ru.wikipedia.org/wiki/Алатырь",
"Алдан","Алдан","Россия","Якутия","https://ru.wikipedia.org/wiki/Алдан_(город)",
"Алейск","Алейск","Россия","Алтайский край","https://ru.wikipedia.org/wiki/Алейск",
"Александрия","Александрия","Египет",,"https://ru.wikipedia.org/wiki/Александрия",
"Александров","Александров","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Александров_(город)",
"Александровск","Александровск","Россия","Пермский край","https://ru.wikipedia.org/wiki/Александровск_(Пермский_край)",
"Александровск-Сахалинский","Александровск-Сахалинский","Россия","Сахалинская область","https://ru.wikipedia.org/wiki/Александровск-Сахалинский",
"Алексеевка","Алексеевка","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Алексеевка_(город,_Белгородская_область)",
"Алексин","Алексин","Россия","Тульская область","https://ru.wikipedia.org/wiki/Алексин_(город)",
"Алеппо","Алеппо","Сирия",,"https://ru.wikipedia.org/wiki/Алеппо",
"Алессандрия","Алессандрия","Италия",,"https://ru.wikipedia.org/wiki/Алессандрия",
"Алёшки","Алёшки",,,"https://ru.wikipedia.org/wiki/Алёшки","Да"
"Алжир (город)","Алжир","Алжир",,"https://ru.wikipedia.org/wiki/Алжир_(город)",
"Алзамай","Алзамай","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Алзамай",
"Аликанте","Аликанте","Испания",,"https://ru.wikipedia.org/wiki/Аликанте",
"Алитус","Алитус","Литва",,"https://ru.wikipedia.org/wiki/Алитус",
"Аллахабад","Аллахабад","Индия",,"https://ru.wikipedia.org/wiki/Праяградж",
"Алма-Ата","Алма-Ата","Казахстан",,"https://ru.wikipedia.org/wiki/Алма-Ата",
"Алупка","Алупка","Россия","Крым","https://ru.wikipedia.org/wiki/Алупка",
"Алушта","Алушта","Россия","Крым","https://ru.wikipedia.org/wiki/Алушта",
"Алчевск","Алчевск","Луганская Народная Республика",,"https://ru.wikipedia.org/wiki/Алчевск","Да"
"Альбино","Альбино","Италия",,"https://ru.wikipedia.org/wiki/Альбино",
"Альбукерке","Альбукерке","США",,"https://ru.wikipedia.org/wiki/Альбукерке",
"Альбуркерке","Альбуркерке","Испания",,"https://ru.wikipedia.org/wiki/Альбуркерке",
"Альметьевск","Альметьевск","Россия","Татарстан","https://ru.wikipedia.org/wiki/Альметьевск",
"Альтдорф","Альтдорф","Швейцария",,"https://ru.wikipedia.org/wiki/Альтдорф_(Ури)",
"Альцано-Ломбардо","Альцано-Ломбардо","Италия",,"https://ru.wikipedia.org/wiki/Альцано-Ломбардо",
"Амвросиевка","Амвросиевка","Донецкая Народная Республика",,"https://ru.wikipedia.org/wiki/Амвросиевка","Да"
"Амман (город)","Амман","Иордания",,"https://ru.wikipedia.org/wiki/Амман",
"Амритсар","Амритсар","Индия",,"https://ru.wikipedia.org/wiki/Амритсар",
"Амстердам","Амстердам","Нидерланды",,"https://ru.wikipedia.org/wiki/Амстердам",
"Амстердам (город, Нью-Йорк)","Амстердам","США",,"https://en.wikipedia.org/wiki/Amsterdam_(town),_New_York",
"Амурск","Амурск","Россия","Хабаровский край","https://ru.wikipedia.org/wiki/Амурск",
"Анадырь","Анадырь","Россия","Чукотский АО","https://ru.wikipedia.org/wiki/Анадырь",
"Анапа","Анапа","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Анапа",
"Анахайм (Калифорния)","Анахайм","США",,"https://ru.wikipedia.org/wiki/Анахайм",
"Ангарск","Ангарск","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Ангарск",
"Ангрен (город)","Ангрен","Узбекистан",,"https://ru.wikipedia.org/wiki/Ангрен_(город)",
"Ангулем","Ангулем","Франция",,"https://ru.wikipedia.org/wiki/Ангулем",
"Андреаполь","Андреаполь","Россия","Тверская область","https://ru.wikipedia.org/wiki/Андреаполь",
"Анжеро-Судженск","Анжеро-Судженск","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Анжеро-Судженск",
"Анива","Анива","Россия","Сахалинская область","https://ru.wikipedia.org/wiki/Анива_(город)",
"Анкара","Анкара","Турция",,"https://ru.wikipedia.org/wiki/Анкара",
"Анкона","Анкона","Италия",,"https://ru.wikipedia.org/wiki/Анкона",
"Анталья","Анталья","Турция",,"https://ru.wikipedia.org/wiki/Анталья",
"Антананариву","Антананариву","Мадагаскар",,"https://ru.wikipedia.org/wiki/Антананариву",
"Антверпен","Антверпен","Бельгия",,"https://ru.wikipedia.org/wiki/Антверпен",
"Антиохия","Антиохия","Турция",,"https://ru.wikipedia.org/wiki/Антиохия",
"Антипиха (Забайкальский край)","Антипиха","Россия",,"https://ru.wikipedia.org/wiki/Антипиха_(Чита)",
"Антрацит (Луганская область)","Антрацит","Луганская Народная Республика",,"https://ru.wikipedia.org/wiki/Антрацит_(Луганская_область)","Да"
"Аньер-сюр-Сен","Аньер-сюр-Сен","Франция",,"https://ru.wikipedia.org/wiki/Аньер-сюр-Сен",
"Апатиты","Апатиты","Россия","Мурманская область","https://ru.wikipedia.org/wiki/Апатиты",
"Апрелевка","Апрелевка","Россия","Московская область","https://ru.wikipedia.org/wiki/Апрелевка",
"Апшеронск","Апшеронск","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Апшеронск",
"Арава (Папуа — Новая Гвинея)","Арава","Папуа — Новая Гвинея",,"https://ru.wikipedia.org/wiki/Арава_(Папуа_—_Новая_Гвинея)",
"Арамиль","Арамиль","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Арамиль",
"Арау (город)","Арау","Швейцария",,"https://ru.wikipedia.org/wiki/Арау",
"Арбинда","Арбинда","Буркина-Фасо",,"https://en.wikipedia.org/wiki/Arbinda",
"Аргун","Аргун","Россия","Чечня","https://ru.wikipedia.org/wiki/Аргун_(город)",
"Ардатов","Ардатов","Россия","Мордовия","https://ru.wikipedia.org/wiki/Ардатов_(Мордовия)",
"Ардон","Ардон","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Ардон_(город)",
"Арзамас","Арзамас","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Арзамас",
"Аркадак","Аркадак","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Аркадак",
"Армавир","Армавир","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Армавир_(Россия)",
"Армянск","Армянск","Россия","Крым","https://ru.wikipedia.org/wiki/Армянск",
"Арсеньев","Арсеньев","Россия","Приморский край","https://ru.wikipedia.org/wiki/Арсеньев_(город)",
"Арск","Арск","Россия","Татарстан","https://ru.wikipedia.org/wiki/Арск",
"Арташаван","Арташаван","Армения",,"https://ru.wikipedia.org/wiki/Арташаван",
"Арташат","Арташат","Армения",,"https://ru.wikipedia.org/wiki/Арташат",
"Артём","Артём","Россия","Приморский край","https://ru.wikipedia.org/wiki/Артём_(город)",
"Артёмовск","Артёмовск","Россия","Красноярский край","https://ru.wikipedia.org/wiki/Артёмовск_(Россия)",
"Артёмовский","Артёмовский","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Артёмовский",
"Архангельск","Архангельск","Россия","Архангельская область","https://ru.wikipedia.org/wiki/Архангельск",
"Асбест","Асбест","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Асбест_(город)",
"Асино","Асино","Россия","Томская область","https://ru.wikipedia.org/wiki/Асино",
"Асколи-Пичено","Асколи-Пичено","Италия",,"https://ru.wikipedia.org/wiki/Асколи-Пичено",
"Асти","Асти","Италия",,"https://ru.wikipedia.org/wiki/Асти",
"Астрахань","Астрахань","Россия","Астраханская область","https://ru.wikipedia.org/wiki/Астрахань",
"Асуан (город)","Асуан","Египет",,"https://ru.wikipedia.org/wiki/Асуан",
"Асунсьон","Асунсьон","Парагвай",,"https://ru.wikipedia.org/wiki/Асунсьон",
"Асьют","Асьют","Египет",,"https://ru.wikipedia.org/wiki/Асьют",
"Атами","Атами","Япония",,"https://ru.wikipedia.org/wiki/Атами",
"Аткарск","Аткарск","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Аткарск",
"Атланта","Атланта","США",,"https://ru.wikipedia.org/wiki/Атланта",
"Атлантик-Сити","Атлантик-Сити","США",,"https://ru.wikipedia.org/wiki/Атлантик-Сити",
"Атырау","Атырау","Казахстан",,"https://ru.wikipedia.org/wiki/Атырау",
"Аугсбург","Аугсбург","Германия",,"https://ru.wikipedia.org/wiki/Аугсбург",
"Афгойе","Афгойе","Сомали",,"https://ru.wikipedia.org/wiki/Афгойе",
"Афины","Афины","Греция",,"https://ru.wikipedia.org/wiki/Афины",
"Африн","Африн","Сирия",,"https://ru.wikipedia.org/wiki/Африн",
"Ахалкалаки","Ахалкалаки","Грузия",,"https://ru.wikipedia.org/wiki/Ахалкалаки",
"Ахалцих","Ахалцих","Грузия",,"https://ru.wikipedia.org/wiki/Ахалцихе",
"Ахваз","Ахваз","Иран",,"https://ru.wikipedia.org/wiki/Ахваз",
"Ахерн (город)","Ахерн","Германия",,"https://ru.wikipedia.org/wiki/Ахерн_(город)",
"Ахмадабад","Ахмадабад","Индия",,"https://ru.wikipedia.org/wiki/Ахмадабад",
"Ахтубинск","Ахтубинск","Россия","Астраханская область","https://ru.wikipedia.org/wiki/Ахтубинск",
"Ахтырка (город)","Ахтырка",,,"https://ru.wikipedia.org/wiki/Ахтырка","Да"
"Ачинск","Ачинск","Россия","Красноярский край","https://ru.wikipedia.org/wiki/Ачинск",
"Аш (Чехия)","Аш","Чехия",,"https://ru.wikipedia.org/wiki/Аш",
"Аша","Аша","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Аша",
"Ашан (Мозель)","Ашан","Франция",,"https://ru.wikipedia.org/wiki/Ашан_(Мозель)",
"Ашберн (Виргиния)","Ашберн","США",,"https://ru.wikipedia.org/wiki/Ашберн_(Виргиния)",
"Ашдод (город)","Ашдод","Израиль",,"https://ru.wikipedia.org/wiki/Ашдод",
"Ашкелон (город)","Ашкелон","Израиль",,"https://ru.wikipedia.org/wiki/Ашкелон",
"Ашхабад","Ашхабад","Туркмения",,"https://ru.wikipedia.org/wiki/Ашхабад",
"Баболь","Баболь","Иран",,"https://ru.wikipedia.org/wiki/Баболь",
"Бабушкин","Бабушкин","Россия","Бурятия","https://ru.wikipedia.org/wiki/Бабушкин_(Бурятия)",
"Бавлы","Бавлы","Россия","Татарстан","https://ru.wikipedia.org/wiki/Бавлы",
"Бага (Нигерия)","Бага","Нигерия",,"https://ru.wikipedia.org/wiki/Бага_(Нигерия)",
"Багдад","Багдад","Ирак",,"https://ru.wikipedia.org/wiki/Багдад",
"Баграм","Баграм","Афганистан",,"https://ru.wikipedia.org/wiki/Баграм",
"Багратионовск","Багратионовск","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Багратионовск",
"Багуз","Багуз","Сирия",,"https://ru.wikipedia.org/wiki/Аль-Багхуз_Фавкани",
"Бад-Пирмонт","Бад-Пирмонт","Германия",,"https://ru.wikipedia.org/wiki/Бад-Пирмонт",
"Баден (Аргау)","Баден","Швейцария",,"https://ru.wikipedia.org/wiki/Баден_(Аргау)",
"Баден-Баден","Баден-Баден","Германия",,"https://ru.wikipedia.org/wiki/Баден-Баден",
"Базель","Базель","Швейцария",,"https://ru.wikipedia.org/wiki/Базель",
"Байинь (город)","Байинь","Китай",,"https://ru.wikipedia.org/wiki/Байинь",
"Байкальск","Байкальск","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Байкальск",
"Баймак","Баймак","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Баймак",
"Байонна","Байонна","Франция",,"https://ru.wikipedia.org/wiki/Байонна",
"Бакал","Бакал","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Бакал",
"Бакряж","Бакряж","Россия",,"https://ru.wikipedia.org/wiki/Бакряж",
"Баксан","Баксан","Россия","Кабардино-Балкария","https://ru.wikipedia.org/wiki/Баксан_(город)",
"Баку","Баку","Азербайджан",,"https://ru.wikipedia.org/wiki/Баку",
"Балабаново","Балабаново","Россия","Калужская область","https://ru.wikipedia.org/wiki/Балабаново",
"Балаклава","Балаклава","Россия","Севастополь","https://ru.wikipedia.org/wiki/Балаклава",
"Балаклея","Балаклея",,,"https://ru.wikipedia.org/wiki/Балаклея","Да"
"Балаково","Балаково","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Балаково",
"Балахна","Балахна","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Балахна",
"Балашиха","Балашиха","Россия","Московская область","https://ru.wikipedia.org/wiki/Балашиха",
"Балашов","Балашов","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Балашов_(город)",
"Балей","Балей","Россия","Забайкальский край","https://ru.wikipedia.org/wiki/Балей",
"Балтийск","Балтийск","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Балтийск",
"Балтимор","Балтимор","США",,"https://ru.wikipedia.org/wiki/Балтимор",
"Бамако","Бамако","Мали",,"https://ru.wikipedia.org/wiki/Бамако",
"Бамиан (город)","Бамиан","Афганистан",,"https://ru.wikipedia.org/wiki/Бамиан_(город)",
"Бангалор","Бангалор","Индия",,"https://ru.wikipedia.org/wiki/Бангалор",
"Бангкок","Бангкок","Таиланд",,"https://ru.wikipedia.org/wiki/Бангкок",
"Бандар-Сери-Бегаван","Бандар-Сери-Бегаван","Бруней",,"https://ru.wikipedia.org/wiki/Бандар-Сери-Бегаван",
"Бандунг","Бандунг","Индонезия",,"https://ru.wikipedia.org/wiki/Бандунг",
"Банжул","Банжул","Гамбия",,"https://ru.wikipedia.org/wiki/Банжул",
"Баотоу","Баотоу","Китай",,"https://ru.wikipedia.org/wiki/Баотоу",
"Барабинск","Барабинск","Россия","Новосибирская область","https://ru.wikipedia.org/wiki/Барабинск",
"Барановичи","Барановичи","Белоруссия",,"https://ru.wikipedia.org/wiki/Барановичи",
"Бари (город)","Бари","Италия",,"https://ru.wikipedia.org/wiki/Бари",
"Барнаул","Барнаул","Россия","Алтайский край","https://ru.wikipedia.org/wiki/Барнаул",
"Барселона","Барселона","Испания",,"https://ru.wikipedia.org/wiki/Барселона",
"Бартлсвилл (Оклахома)","Бартлсвилл","США",,"https://ru.wikipedia.org/wiki/Бартлсвилл_(Оклахома)",
"Барыш","Барыш","Россия","Ульяновская область","https://ru.wikipedia.org/wiki/Барыш_(город)",
"Басра","Басра","Ирак",,"https://ru.wikipedia.org/wiki/Басра",
"Бат (Англия)","Бат","Великобритания",,"https://ru.wikipedia.org/wiki/Бат_(Англия)",
"Бат-Ям (город)","Бат-Ям","Израиль",,"https://ru.wikipedia.org/wiki/Бат-Ям",
"Батайск","Батайск","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Батайск",
"Батон-Руж","Батон-Руж","США",,"https://ru.wikipedia.org/wiki/Батон-Руж",
"Баттикалоа","Баттикалоа","Шри-Ланка",,"https://ru.wikipedia.org/wiki/Баттикалоа",
"Батуми","Батуми","Грузия",,"https://ru.wikipedia.org/wiki/Батуми",
"Бахмут","Бахмут","Луганская Народная Республика",,"https://ru.wikipedia.org/wiki/Бахмут","Да"
"Бахчисарай","Бахчисарай","Россия","Крым","https://ru.wikipedia.org/wiki/Бахчисарай",
"Баян-Нур","Баян-Нур","Китай",,"https://ru.wikipedia.org/wiki/Баян-Нур",
"Беверли-Хиллз","Беверли-Хиллз","США",,"https://ru.wikipedia.org/wiki/Беверли-Хиллз",
"Беджая","Беджая","Алжир",,"https://ru.wikipedia.org/wiki/Беджая",
"Бежецк","Бежецк","Россия","Тверская область","https://ru.wikipedia.org/wiki/Бежецк",
"Бейрут","Бейрут","Ливан",,"https://ru.wikipedia.org/wiki/Бейрут",
"Бейшехир (город)","Бейшехир","Турция",,"https://ru.wikipedia.org/wiki/Бейшехир_(город)",
"Белая Калитва","Белая Калитва","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Белая_Калитва",
"Белая Скала (село)","Белая Скала","Россия/ Украина",,"https://ru.wikipedia.org/wiki/Белая_Скала",
"Белая Холуница","Белая Холуница","Россия","Кировская область","https://ru.wikipedia.org/wiki/Белая_Холуница",
"Белая Церковь","Белая Церковь",,,"https://ru.wikipedia.org/wiki/Белая_Церковь","Да"
"Белвью (Вашингтон)","Белвью","США",,"https://ru.wikipedia.org/wiki/Белвью_(Вашингтон)",
"Белгород","Белгород","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Белгород",
"Белгород-Днестровский","Белгород-Днестровский",,,"https://ru.wikipedia.org/wiki/Белгород-Днестровский","Да"
"Белград","Белград","Сербия",,"https://ru.wikipedia.org/wiki/Белград",
"Белебей","Белебей","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Белебей",
"Белёв","Белёв","Россия","Тульская область","https://ru.wikipedia.org/wiki/Белёв",
"Белинский","Белинский","Россия","Пензенская область","https://ru.wikipedia.org/wiki/Белинский_(Пензенская_область)",
"Белово","Белово","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Белово",
"Беловодск","Беловодск",,,"https://ru.wikipedia.org/wiki/Беловодск","Да"
"Белогорск","Белогорск","Россия","Крым","https://ru.wikipedia.org/wiki/Белогорск_(Крым)",
"Белозерск","Белозерск","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Белозерск",
"Белокуриха","Белокуриха","Россия","Алтайский край","https://ru.wikipedia.org/wiki/Белокуриха",
"Белолуцк","Белолуцк",,,"https://ru.wikipedia.org/wiki/Белолуцк","Да"
"Беломорск","Беломорск","Россия","Карелия","https://ru.wikipedia.org/wiki/Беломорск",
"Белоозёрский","Белоозёрский","Россия","Московская область","https://ru.wikipedia.org/wiki/Белоозёрский_(Московская_область)",
"Белорецк","Белорецк","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Белорецк",
"Белореченск","Белореченск","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Белореченск",
"Белосток (Омская область)","Белосток","Россия",,"https://ru.wikipedia.org/wiki/Белосток_(Омская_область)",
"Белоусово","Белоусово","Россия","Калужская область","https://ru.wikipedia.org/wiki/Белоусово_(Калужская_область)",
"Белоярский","Белоярский","Россия","Ханты-Мансийский АО","https://ru.wikipedia.org/wiki/Белоярский_(Ханты-Мансийский_автономный_округ)",
"Белоярский (город)","Белоярский","Россия",,"https://ru.wikipedia.org/wiki/Белоярский_(город)",
"Белу-Оризонти","Белу-Оризонти","Бразилия",,"https://ru.wikipedia.org/wiki/Белу-Оризонти",
"Белфаст","Белфаст","Великобритания",,"https://ru.wikipedia.org/wiki/Белфаст",
"Белые Берега","Белые Берега","Россия",,"https://ru.wikipedia.org/wiki/Белые_Берега",
"Белый","Белый","Россия","Тверская область","https://ru.wikipedia.org/wiki/Белый_(город)",
"Бельфор (город)","Бельфор","Франция",,"https://ru.wikipedia.org/wiki/Бельфор",
"Бельцы","Бельцы","Молдавия",,"https://ru.wikipedia.org/wiki/Бельцы",
"Бенгази","Бенгази","Ливия",,"https://ru.wikipedia.org/wiki/Бенгази",
"Бендер-Аббас","Бендер-Аббас","Иран",,"https://ru.wikipedia.org/wiki/Бендер-Аббас",
"Бендер-Энзели","Бендер-Энзели","Иран",,"https://ru.wikipedia.org/wiki/Бендер-Энзели",
"Бендеры","Бендеры","Приднестровская Молдавская Республика",,"https://ru.wikipedia.org/wiki/Бендеры","Да"
"Бербанк (Калифорния)","Бербанк","США",,"https://ru.wikipedia.org/wiki/Бербанк_(Калифорния)",
"Бергамо","Бергамо","Италия",,"https://ru.wikipedia.org/wiki/Бергамо",
"Берген","Берген","Норвегия",,"https://ru.wikipedia.org/wiki/Берген",
"Бердичев","Бердичев",,,"https://ru.wikipedia.org/wiki/Бердичев","Да"
"Бердск","Бердск","Россия","Новосибирская область","https://ru.wikipedia.org/wiki/Бердск",
"Бердянск","Бердянск",,,"https://ru.wikipedia.org/wiki/Бердянск","Да"
"Бережаны","Бережаны",,,"https://ru.wikipedia.org/wiki/Бережаны","Да"
"Березино (город)","Березино","Белоруссия",,"https://ru.wikipedia.org/wiki/Березино_(город)",
"Березники","Березники","Россия","Пермский край","https://ru.wikipedia.org/wiki/Березники",
"Берёзовка (Ивановский район)","Берёзовка","Россия",,"https://ru.wikipedia.org/wiki/Берёзовка_(Ивановский_район)",
"Берёзовский","Берёзовский","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Берёзовский_(Кемеровская_область)",
"Берестечко","Берестечко",,,"https://ru.wikipedia.org/wiki/Берестечко","Да"
"Берлин","Берлин","Германия",,"https://ru.wikipedia.org/wiki/Берлин",
"Берн","Берн","Швейцария",,"https://ru.wikipedia.org/wiki/Берн",
"Бертонико","Бертонико","Италия",,"https://ru.wikipedia.org/wiki/Бертонико",
"Беслан","Беслан","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Беслан",
"Бетесда (Мэрилэнд)","Бетесда","США",,"https://ru.wikipedia.org/wiki/Бетесда_(Мэриленд)",
"Бетли (Дагестан)","Бетли","Россия",,"https://ru.wikipedia.org/wiki/Бетли",
"Бехбехан","Бехбехан","Иран",,"https://ru.wikipedia.org/wiki/Бехбехан",
"Библ","Библ","Ливан",,"https://ru.wikipedia.org/wiki/Библ",
"Бийск","Бийск","Россия","Алтайский край","https://ru.wikipedia.org/wiki/Бийск",
"Бикин","Бикин","Россия","Хабаровский край","https://ru.wikipedia.org/wiki/Бикин_(город)",
"Билибино","Билибино","Россия","Чукотский АО","https://ru.wikipedia.org/wiki/Билибино",
"Билимбай","Билимбай","Россия",,"https://ru.wikipedia.org/wiki/Билимбай",
"Биль (город)","Биль","Швейцария",,"https://ru.wikipedia.org/wiki/Биль_(город)",
"Бильбао","Бильбао","Испания",,"https://ru.wikipedia.org/wiki/Бильбао",
"Билярск","Билярск","Россия",,"https://ru.wikipedia.org/wiki/Билярск",
"Бир-Лелу","Бир-Лелу",,,"https://ru.wikipedia.org/wiki/Бир-Лелу","Да"
"Бирмингем (Великобритания)","Бирмингем","Великобритания",,"https://ru.wikipedia.org/wiki/Бирмингем",
"Биробиджан","Биробиджан","Россия","Еврейская АО","https://ru.wikipedia.org/wiki/Биробиджан",
"Бирск","Бирск","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Бирск",
"Бирюсинск","Бирюсинск","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Бирюсинск",
"Бирюч","Бирюч","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Бирюч_(город)",
"Бисерть","Бисерть","Россия",,"https://ru.wikipedia.org/wiki/Бисерть",
"Бишкек","Бишкек","Киргизия",,"https://ru.wikipedia.org/wiki/Бишкек",
"Блабырхуа","Блабырхуа","Абхазия/ Грузия",,"https://ru.wikipedia.org/wiki/Блабырхуа",
"Благовещенск","Благовещенск","Россия","Амурская область","https://ru.wikipedia.org/wiki/Благовещенск",
"Благодарный","Благодарный","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Благодарный",
"Блантайр","Блантайр","Малави",,"https://ru.wikipedia.org/wiki/Блантайр",
"Блаундус","Блаундус",,,"https://en.wikipedia.org/wiki/Blaundus",
"Боблово (Клинский район)","Боблово","Россия",,"https://ru.wikipedia.org/wiki/Боблово_(городской_округ_Клин)",
"Бобров","Бобров","Россия","Воронежская область","https://ru.wikipedia.org/wiki/Бобров_(город)",
"Бобровица (город)","Бобровица",,,"https://ru.wikipedia.org/wiki/Бобровица","Да"
"Бобруйск","Бобруйск","Белоруссия",,"https://ru.wikipedia.org/wiki/Бобруйск",
"Богданович","Богданович","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Богданович_(город)",
"Боголюбы (Волынская область)","Боголюбы",,,"https://ru.wikipedia.org/wiki/Боголюбы_(Волынская_область)","Да"
"Богородицк","Богородицк","Россия","Тульская область","https://ru.wikipedia.org/wiki/Богородицк",
"Богородск","Богородск","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Богородск",
